अ	a
ख ़ ु श ी	khq u sh ii
ख ु श ी	kh u sh ii
ख ु श ी ख ु श ी	kh u sh ii kh u sh ii
ख ू न	kh uu n
ख ़ ू न ख ़ र ा ब ा	khq uu n khq a r aa b aa
ख ू ब	kh uu b
ख ू ब स ू र त	kh uu b s uu r a t
ख ू श ब ू	kh uu sh b uu
ख ू स ट	kh uu s a tx
ख े ड	kh ee dx
ख े त	kh ee t
ख े त ि ह र	kh ee t i h a r
ख े त ी	kh ee t ii
ख े त ी ब ा र ी	kh ee t ii b aa r ii
ख े त ो ं	kh ee t o N
ख े द	kh ee d
ख े न े	kh ee n ee
ख े प	kh ee p
ख े प ो ं	kh ee p o N
ख े म क र न	kh ee m a k a r a n
ख े ल	kh ee l
ख े ल क ू द	kh ee l k uu d
ख े ल त ी	kh ee l t ii
ख े ल त े	kh ee l t ee
ख े ल न े	kh ee l n ee
ख े ल ा ऊ ँ	kh ee l aa uu mq
ख े ळ	kh ee lx
ख े ळ ण ी	kh ee lx a nx ii
ख े ळ ल ा	kh ee lx a l aa
ख े ळ ा च ा	kh ee lx aa c aa
ख ै र	kh ei r
ख ै र ि य त	kh ei r i y a t
ख ो	kh o
ख ो ए	kh o ee
ख ो क र	kh o k a r
ख ो ज	kh o j
ख ो ज ा ग ि र ी	kh o j aa g i r ii
ख ो ट े	kh o tx ee
ख ो द	kh o d
ख ो द क र	kh o d k a r
ख ो द न ा	kh o d n aa
ख ो द न े	kh o d n ee
ख ो द ा	kh o d aa
ख ो प ो ल ी	kh o p o l ii
ख ो य ा	kh o y aa
ख ो र ् य ा त	kh o r y aa t
ख ो ल	kh o l
ख ो ल क र	kh o l k a r
ख ो ल त ी	kh o l t ii
ख ो ल ा	kh o l aa
ख ो ल ू ँ ग ा	kh o l uu mq g aa
ख ् य ा ल	kh y aa l
ख ् व ा ब	kh w aa b
ख ् व ा ब ो ं	kh w aa b o N
ख ़ ् व ा ह ि श	khq w aa h i sh
ख ् व ा ह ि श ो ं	kh w aa h i sh o N
ग ं	g a N
ग ई	g a ii
ग ई ं	g a ii N
ग ए	g a ee
ग ं ग ट ो क	g a N g a tx o k
ग ग न	g a g a n
ग ग न ब ा व ड ् य ा ल ा	g a g a n a b aa w a dx y aa l aa
ग ग न भ े द ी	g a g n a bh ee d ii
ग ग न स ् प र ् श ी	g a g n a s p a r sh ii
ग ग न ा थ ा	g a g n aa th aa
ग ग र े	g a g r ee
ग ं ग ा	g a N g aa
ग ं ग ा ख े ड	g a N g aa kh ee dx
ग ं ग ा झ र ी	g a N g aa jh a r ii
ग ं ग ा त ट	g a N g aa t a tx
ग ं ग ा श र ण	g a N g aa sh r a nx
ग ं ग ो त ् र ी	g a N g o t r ii
ग ज र े व ा ल े	g a j r ee w aa l ee
ग ं ज ा	g a N j aa
ग ट ग ट	g a tx g a tx
ग ट ् ठ र	g a tx txh a r
ग ठ न	g a txh a n
ग ठ र ी	g a txh r ii
ग ड ़ ग ड ़ ा ह ट	g a dxq g a dxq aa h a tx
ग ड़ ग ड़ ा ह ट	g a dxq g a dxq aa h a tx
ग ड च ि र ो ल ी	g a dx a c i r o l ii
ग ड ह ि ं ग ् ल ज	g a dx a h i N g l a j
ग ड ् ढ ा	g a dx dxh aa
ग ड ् ढ े	g a dx dxh ee
ग ढ ़ े	g a dxhq ee
ग ढ ् ढ ा	g a dxh dxh aa
ग ढ ् ढ े	g a dxh dxh ee
ग ण ग ौ र	g a nx a g au r
ग ण न ा	g a nx n aa
ग ण प त ी	g a nx a p a t ii
ग ण प त ी प ु ळ े	g a nx a p a t ii p u lx ee
ग ण म ा न ् य	g a nx m aa n y
ग ण े श	g a nx ee sh
ग ण ो र े	g a nx o r ee
ग त	g a t
ग द ग	g a d a g
ग द ग द	g a d g a d
ग ं द ा	g a N d aa
ग ं द ी	g a N d ii
ग ं ध र ् व ा ं च े	g a N dh a r w aa N c ee
ग न ी म त	g a n ii m a t
ग प ् प ू	g a p p uu
ग ं भ ी र	g a N bh ii r
ग म	g a m
ग म छ ा	g a m ch aa
ग म ् भ ी र	g a m bh ii r
ग म ् भ ी र त ा	g a m bh ii r t aa
ग य ा	g a y aa
ग य ा क ् य ो ं	g a y aa k y o N
ग य ी	g a y ii
ग य ी ं	g a y ii N
ग य े	g a y ee
ग र ज	g a r a j
ग र ज त े	g a r j a t ee
ग र ज न े	g a r j a n ee
ग र म	g a r a m
ग र म ग र म	g a r m a g a r a m
ग र म ी	g a r m ii
ग र व ा र े	g a r a w aa r ee
ग र ी ब	g a r ii b
ग ़ र ी ब	gq a r ii b
ग ़ र ी ब स ू र त	gq a r ii b s uu r a t
ग ़ र ी ब ो ं	gq a r ii b o N
ग र ु ड व े ग	g a r u dx a w ee g
ग र ् ज न	g a r j a n
ग र ् द	g a r d
ग र ् द न	g a r d a n
ग र ् द ि श ो ं	g a r d i sh o N
ग र ् भ प ा त	g a r bh p aa t
ग र ् भ व त ी	g a r bh w a t ii
ग र ् म	g a r m
ग र ् म ा ग र ् म	g a r m aa g a r m
ग र ् म ि य ो ं	g a r m i y o N
ग र ् म ी	g a r m ii
ग र ् व	g a r w
ग र ् व ी ल ी	g a r w ii l ii
ग ल त	g a l a t
ग ल त ी	g a l t ii
ग ल न े	g a l n ee
ग ल ा	g a l aa
ग ल ि य ो ं	g a l i y o N
ग ल ी	g a l ii
ग ल े	g a l ee
ग ल े ग ी	g a l ee g ii
ग ल ् फ	g a l ph
ग ल ् ल ी	g a l l ii
ग व र ् न म े ं ट	g a w r n a m ee N tx
ग ँ व ा	g a mq w aa
ग ँ व ा ए	g a mq w aa ee
ग व ा ह	g a w aa h
ग व ा ह ी	g a w aa h ii
ग श ् त	g a sh t
ग ह र ा	g ei h ei r aa
ग ह र ा ई	g ei h ei r aa ii
ग ह र ी	g ei h ei r ii
ग ा	g aa
ग ा ई ड	g aa ii dx
ग ा झ ि य ा ब ा द	g aa jh i y aa b aa d
ग ा झ ी प ु र	g aa jh ii p u r
ग ा ड ़	g aa dxq
ग ा ड ़ ि य ा ँ	g aa dxq i y aa mq
ग ा ड ़ ी	g aa dxq ii
ग ा ड़ ी	g aa dxq ii
ग ा ड ् य ा	g aa dx y aa
ग ा ढ ़ ा	g aa dxhq aa
ग ा ढ ़ ी	g aa dxhq ii
ग ा ण ं	g aa nx a N
ग ा ण ग ा प ू र	g aa nx a g aa p uu r
ग ा ण ी	g aa nx ii
ग ा ण े	g aa nx ee
ग ा ण ् य ा	g aa nx y aa
ग ा ण ् य ा च ा	g aa nx y aa c aa
ग ा ण ् य ा च ी	g aa nx y aa c ii
ग ा ण ् य ा च े	g aa nx y aa c ee
ग ा त े	g aa t ee
ग ा ध ी	g aa dh ii
ग ा ँ ध ी	g aa mq dh ii
ग ा ं ध ी	g aa N dh ii
ग ा ं ध ी ध ा म	g aa N dh ii dh aa m
ग ा ं ध ी न ग र	g aa N dh ii n a g a r
ग ा न ा	g aa n aa
ग ा न े	g aa n ee
ग ा म ा	g aa m aa
ग ा य	g aa y
ग ा य क	g aa y a k
ग ा य क ा च े	g aa y a k aa c ee
ग ा य त ् र ी	g aa y a t r ii
ग ा य ब	g aa y a b
ग ा य ा	g aa y aa
ग ा य े	g aa y ee
ग ा य े ं	g aa y ee N
ग ा य ो ं	g aa y o N
ग ा र म े ं ट ् स	g aa r a m ee N tx s
ग ा ल	g aa l
ग ा ल ि य ा ँ	g aa l i y aa mq
ग ा ल ी	g aa l ii
ग ा ल ी ग ल ौ ज	g aa l ii g l ou j
ग ा ल ो ं	g aa l o N
ग ा ँ व	g aa mq w
ग ा ं व	g aa N w
ग ा ं व क स ् ब ो ं	g aa N w k a s b o N
ग ा व च ् य ा	g aa w a c y aa
ग ा व ा च ी	g aa w aa c ii
ग ा व ा च े	g aa w aa c ee
ग ा व ा च ् य ा	g aa w aa c y aa
ग ा व ा त ी ल	g aa w aa t ii l
ग ा व ा ं म ध ् य े	g aa w aa N m a dh y ee
ग ा ँ व ो ं	g aa mq w o N
ग ा ं व ो ं	g aa N w o N
ग ि ड ़ ग ि ड ़ ा त े	g i dxq g i dxq aa t ee
ग ि ं ड ी	g i N dx ii
ग ि न त ा	g i n t aa
ग ि न त ी	g i n t ii
ग ि न त े	g i n t ee
ग ि न न े	g i n n ee
ग ि न ् न ी	g i n n ii
ग ि र	g i r
ग ि र ज ा घ र	g i r j aa gh a r
ग ि र ण ा	g i r a nx aa
ग ि र त ा	g i r t aa
ग ि र त ी	g i r t ii
ग ि र त े	g i r t ee
ग ि र फ ़ ् त ा र	g i r phq t aa r
ग ि र फ़ ् त ा र	g i r phq t aa r
ग ि र फ ् त ा र	g i r ph t aa r
ग ि र ब ा न	g i r b aa n
ग ि र ा	g i r aa
ग ि र ा त ी	g i r aa t ii
ग ि र ा त े	g i r aa t ee
ग ि र ि ज ा त ् म ज	g i r i j aa t m a j
ग ि र ी ं	g i r ii N
ग ि र े	g i r ee
ग ि र े ग ा	g i r ee g aa
ग ि ल ा स	g i l aa s
ग ि ल ् ह र ि	g i l h r i
ग ि ल ् ह र ि य ा न	g i l h r i y aa n
ग ी त	g ii t
ग ी त ा	g ii t aa
ग ी त े	g ii t ee
ग ी त ो ं	g ii t o N
ग ी ल ा	g ii l aa
ग ु च ् छ ा	g u c ch aa
ग ु ज र	g u j a r
ग ु ज ़ र	g u jq a r
ग ु ज़ र	g u jq a r
ग ु ज़ र ा	g u jq r aa
ग ु ज र ा	g u j r aa
ग ु ज र ा त	g u j a r aa t
ग ु ज र ा त	g u j r aa t
ग ु ज र े	g u j r ee
ग ु ज ा र	g u j aa r
ग ु ज ा र ा	g u j aa r aa
ग ु झ ि य ा	g u jh i y aa
ग ु ट	g u tx
ग ु ं ट ू र	g u N tx uu r
ग ु ड	g u dx
ग ु ड ़	g u dxq
ग ु ड़	g u dxq
ग ु ड इ य र	g u dx a i y a r
ग ु ड़ ग ु ड़	g u dxq g u dxq
ग ु ड़ ि य ो ं	g u dxq i y o N
ग ु ढ ी	g u dxh ii
ग ु ण ल ् य ा स	g u nx a l y aa s
ग ु ण ा	g u nx aa
ग ु ण ि ल े	g u nx i l ee
ग ु ं त व ण ू क	g u N t a w a nx uu k
ग ु द ग ु द ी	g u d g u d ii
ग ु न ग ा न	g u n g aa n
ग ु ब ् ब ा र ा	g u b b aa r aa
ग ु ब ् ब ा र े	g u b b aa r ee
ग ु म	g u m
ग ु र ग ा व	g u r a g aa w
ग ु र ु	g u r u
ग ु र ु ग ् र ा म	g u r u g r aa m
ग ु र ु द ा स प ु र	g u r u d aa s a p u r
ग ु र ु व ा र	g u r u w aa r
ग ़ ु र ् ब त	gq u r b a t
ग ु ल स ि त ा ँ	g u l s i t aa mq
ग ु ल ा ट ि य ा ँ	g u l aa tx i y aa mq
ग ु ल ा ब	g u l aa b
ग ़ ु ल ा म	gq u l aa m
ग ु ल ा म	g u l aa m
ग ु ल ा म ी	g u l aa m ii
ग ु ल ू ब ं द	g u l uu b a N d
ग ु ल ् श न	g u l sh a n
ग ु व ा ह ा ट ी	g u w aa h aa tx ii
ग ु स ् स ा	g u s s aa
ग ु ़ स ् स ा	g u s s aa
ग़ ु स ् स े	gq u s s ee
ग ु स ् स े	g u s s ee
ग ु ़ स ् स े	g u s s ee
ग ू ँ ज	g uu mq j
ग ू ं ज	g uu N j
ग ँ ू ज त ा	g a mq uu j t aa
ग ृ ह स ् थ ी	g rq h s th ii
ग ॅ म ् ब ल	g ae m b a l
ग ॅ ल र ी	g ae l a r ii
ग े	g ee
ग े ट	g ee tx
ग े ं द	g ee N d
ग े म	g ee m
ग े ल	g ee l
ग े ल ी	g ee l ii
ग े ल े	g ee l ee
ग े स ् ट	g ee s tx
ग ै ब ् र ि ए ल ा	g ei b r i ee l aa
ग ै र त	g ei r a t
ग ै र त प ु र	g ai r a t a p u r
ग ै र म ौ ज ू द ग ी	g ei r m ou j uu d g ii
ग ै र ा ज	g ei r aa j
ग ॉ ँ ठ	g ax mq txh
ग ॉ ँ व	g ax mq w
ग ो	g o
ग ो ई	g o ii
ग ो क र ् ण	g o k a r nx
ग ो ट म ा र	g o tx a m aa r
ग ो ट ा	g o tx aa
ग ो ं ड व न	g o N dx a w a n
ग ो त ा	g o t aa
ग ो द	g o d
ग ो द र े ज	g o d a r ee j
ग ो द ा म	g o d aa m
ग ो द ा म ो ं	g o d aa m o N
ग ो द ा व र ी	g o d aa w a r ii
ग ो ं द ि य ा	g o N d i y aa
ग ो ं द ि य ा त ी ल	g o N d i y aa t ii l
ग ो द ी	g o d ii
ग ो ध ् र ा	g o dh r aa
ग ो प ा ळ क ा ल ा	g o p aa lx a k aa l aa
ग ो ब र व ा ह ी	g o b a r a w aa h ii
ग ो म ू	g o m uu
ग ो र ख प ु र	g o r a kh a p u r
ग ो र ा	g o r aa
ग ो ल	g o l
ग ो ल क ग ं ज	g o l a k a g a N j
ग ो ल म े ज	g o l m ee j
ग ो ल म े ज ़	g o l m ee jq
ग ो ल ा घ ा ट	g o l aa gh aa tx
ग ो ल ि य ा ं	g o l i y aa N
ग ो ल ी	g o l ii
ग ो ल ू	g o l uu
ग ो ल ो ं	g o l o N
ग ो ल ् ड	g o l dx
ग ो व र ् ध न	g o w a r dh a n
ग ो व ा	g o w aa
ग ो व ि ं द	g o w i N d
ग ो व ् य ा	g o w y aa
ग ो व ् य ा च ा	g o w y aa c aa
ग ो व ् य ा त ल ी	g o w y aa t a l ii
ग ो व ् य ा त ी ल	g o w y aa t ii l
ग ौ त म	g ou t a m
ग ौ र	g ou r
ग ौ र व	g ou r a w
ग ौ श ा ल ा	g ou sh aa l aa
ग ् य ा न	g y aa n
ग ् य ा र ह	g y aa r a h
ग ् र ह ण	g r ei h ei nx
ग ् र ा उ ं ड	g r aa u N dx
ग ् र ा फ ि क ल	g r aa ph i k a l
ग ् र ा म	g r aa m
ग ् र ा म ी ण	g r aa m ii nx
ग ् र ा म ी ण ो ं	g r aa m ii nx o N
ग ् र ा स	g r aa s
ग ् र ा स ि म	g r aa s i m
ग ् र ा स ी म	g r aa s ii m
ग ् र ा ह क	g r aa h a k
ग ् र ी न व े व ् स	g r ii n a w ee w s
ग ् र ु प	g r u p
ग ् र ॅ व ि ट ी	g r ae w i tx ii
ग ् र े ज ु ए श न	g r ee j u ee sh a n
ग ् र ॉ स र ी	g r ax s a r ii
ग ् ल ॅ क ् स ो स ् म ि थ क ् ल ा इ न	g l ae k s o s m i th a k l aa i n
ग ् ल े न म ा र ् क	g l ee n a m aa r k
ग ् ल ो ब ल	g l o b a l
ग ् व ा ल ् ह े र	g w aa l h ee r
घ ट	gh a tx
घ ट न ा	gh a tx n aa
घ ट न ा ओ ं	gh a tx n aa o N
घ ं ट े	gh a N tx ee
घ ड ़ ी	gh a dxq ii
घ ड़ ी	gh a dxq ii
घ ड ़ ो ं	gh a dxq o N
घ ड ् य ा ळ ा त	gh a dx y aa lx aa t
घ ण ् ट ा	gh a nx tx aa
घ ण ् ट े	gh a nx tx ee
घ न ी	gh a n ii
घ न े	gh a n ee
घ ब र ा	gh a b r aa
घ ब र ा ए ं	gh a b r aa ee N
घ ब र ा क र	gh a b r aa k a r
घ ब र ा न े	gh a b r aa n ee
घ ब र ा य ा	gh a b r aa y aa
घ ब र ा ह ट	gh a b r aa h a tx
घ र	gh a r
घ र घ ं ट ी	gh a r a gh a N tx ii
घ र ब ा र	gh a r b aa r
घ र व ा ल े	gh a r w aa l ee
घ र ा च ं	gh a r aa c a N
घ र ा ह ू न	gh a r aa h uu n
घ र े	gh a r ee
घ र ो ं	gh a r o N
घ र ौ ं द े	gh a r ou N d ee
घ र ् र घ र ् र	gh a r r gh a r r
घ स ी ट त े	gh a s ii tx t ee
घ ा घ	gh aa gh
घ ा ट	gh aa tx
घ ा ट ा	gh aa tx aa
घ ा ट े	gh aa tx ee
घ ा ण े क र	gh aa nx ee k a r
घ ा त क	gh aa t a k
घ ा स	gh aa s
घ ि घ ि य ा	gh i gh i y aa
घ ि र	gh i r
घ ि र ा	gh i r aa
घ ि र ् र ी	gh i r r ii
घ ी	gh ii
घ ु ट न ो ं	gh u tx n o N
घ ु ड ़ क ि य ा ँ	gh u dxq k i y aa mq
घ ु ड ़ क ि य ॉ ँ	gh u dxq k i y ax mq
घ ु म ा त ी	gh u m aa t ii
घ ु म ा य ा	gh u m aa y aa
घ ु स	gh u s
घ ू ँ घ ट	gh uu mq gh a tx
घ ू म	gh uu m
घ ू म घ ा म	gh uu m gh aa m
घ ू म त ी	gh uu m t ii
घ ू म त े	gh uu m t ee
घ ू म न ा	gh uu m n aa
घ ू म न े	gh uu m n ee
घ ू म फ ि र	gh uu m ph i r
घ ू म ा	gh uu m aa
घ ू र	gh uu r
घ ू र क र	gh uu r k a r
घ ृ ण ा	gh rq nx aa
घ ृ ण ा स ् प द	gh rq nx aa s p a d
घ ृ ण ि त	gh rq nx i t
घ े	gh ee
घ े ऊ	gh ee uu
घ े र	gh ee r
घ े र ि	gh ee r i
घ े श ी ल	gh ee sh ii l
घ ो ट ी	gh o tx ii
घ ो ड ा	gh o dx aa
घ ो ड ़ े	gh o dxq ee
घ ो ड ़ ो ं	gh o dxq o N
घ ो र	gh o r
घ ो ल व ड	gh o l a w a dx
घ ो ष ण ा	gh o sx a nx aa
घ ो ष ण ा	gh o sx nx aa
घ ो ष ि त	gh o sx i t
घ ो ं स ल ा	gh o N s l aa
घ ् य ा य च े	gh y aa y a c ee
च ं	c a N
च क न ा च ू र	c a k n aa c uu r
च क ि त	c a k i t
च क ् क र	c a k k a r
च क ् क र ो ं	c a k k r o N
च क ् क ी	c a k k ii
च क ् र ध र प ु र	c a k r a dh a r a p u r
च क ् र ी व ा द ळ ा च ी	c a k r ii w aa d a lx aa c ii
च ख न े	c a kh n ee
च ट	c a tx
च ट ख	c a tx a kh
च ट प ट	c a tx p a tx
च ट ् ट ा न ो ं	c a tx tx aa n o N
च ं ड ी ग ढ	c a N dx ii g a dxh
च ढ ़	c a dxhq
च ढ़	c a dxhq
च ढ़ क र	c a dxhq k a r
च ढ ़ त े	c a dxhq t ee
च ढ़ न ा	c a dxhq n aa
च ढ ़ न े	c a dxhq n ee
च ढ़ न े	c a dxhq n ee
च ढ़ व ा	c a dxhq w aa
च ढ ़ ा	c a dxhq aa
च ढ़ ा	c a dxhq aa
च ढ़ ा क र	c a dxhq aa k a r
च ढ़ े	c a dxhq ee
च त ु र	c a t u r
च त ु र त ा	c a t u r t aa
च त ु र ा ई	c a t u r aa ii
च त ु र ् थ ी	c a t u r th ii
च त ु र ् द श ी	c a t u r d a sh ii
च ं द ग ड	c a N d a g a dx
च ं द न े श ् व र	c a N d a n ee sh w a r
च ं द ा	c a N d aa
च ं द ि ग ड	c a N d i g a dx
च ं द ् र	c a N d r
च ं द ् र क ा ं त	c a N d r k aa N t
च ं द ् र प ु र	c a N d r a p u r
च ं द ् र प ू र	c a N d r a p uu r
च ं द ् र भ ा ग ा	c a N d r a bh aa g aa
च ं द ् र ि क ा	c a N d r i k aa
च न े	c a n ee
च प र ा स ी	c a p r aa s ii
च प र ा स ी स ब	c a p r aa s ii s a b
च ं प ा	c a N p aa
च ं प ा क ु ल म	c a N p aa k u l a m
च ं प ा र ा न ी	c a N p aa r aa n ii
च ब ा	c a b aa
च ं ब ा	c a N b aa
च ब ा त े	c a b aa t ee
च ब ा न ा	c a b aa n aa
च म क	c a m a k
च म क क र	c a m k a k a r
च म क त ा	c a m k a t aa
च म क त ी	c a m k a t ii
च म क द ा र	c a m k a d aa r
च म क न े	c a m k a n ee
च म क ी	c a m k ii
च म क ी ल ा	c a m k ii l aa
च म च म ा त ी	c a m c a m aa t ii
च म ड ़ ा	c a m dxq aa
च म त ् क ा र	c a m t k aa r
च म त ् क ा र ो ं	c a m t k aa r o N
च म त ् क ृ त	c a m t k rq t
च म ा र	c a m aa r
च म ा र ो ं	c a m aa r o N
च म े ल ी	c a m ee l ii
च र ख ा	c a r kh aa
च र ख ी	c a r kh ii
च र म	c a r a m
च र म प ं थ	c a r m a p a N th
च र ि त ् र व ा न	c a r i t r w aa n
च र ् ख ी	c a r kh ii
च र ् च	c a r c
च र ् च ग े ट	c a r c a g ee tx
च र ् च ा	c a r c aa
च र ् च ि ल	c a r c i l
च ल	c a l
च ल त ा	c a l t aa
च ल त े	c a l t ee
च ल न ा	c a l n aa
च ल न े	c a l n ee
च ल व ा	c a l w aa
च ल ा	c a l aa
च ल ा ए ं	c a l aa ee N
च ल ा त े	c a l aa t ee
च ल ा न ा	c a l aa n aa
च ल ा न े	c a l aa n ee
च ल ा य ा	c a l aa y aa
च ल ी	c a l ii
च ल ू ँ ग ी	c a l uu mq g ii
च ल े	c a l ee
च ल े ग ा	c a l ee g aa
च ल े ं ग े	c a l ee N g ee
च ल ो	c a l o
च व ् व े च ा ळ ी स	c a w w ee c aa lx ii s
च श ् म े	c a sh m ee
च ह क	c ei h ei k
च ह ल क द म ी	c ei h ei l k a d a m ii
च ा	c aa
च ा क र ी	c aa k r ii
च ा ं ग ल ं	c aa N g a l a N
च ा ं ग ल ा	c aa N g a l aa
च ा ं ग ल ा ं ग	c aa N g a l aa N g
च ा ं ग ल ी	c aa N g a l ii
च ा ं ग ल ् य ा	c aa N g a l y aa
च ा च ा	c aa c aa
च ा च ी	c aa c ii
च ा ट	c aa tx
च ा ं ट े	c aa N tx ee
च ा ड	c aa dx
च ा त ु र ् म ा स	c aa t u r m aa s
च ा ँ द	c aa mq d
च ा ं द ण ् य ा त	c aa N d a nx y aa t
च ा ँ द न ी	c aa mq d n ii
च ा द र	c aa d a r
च ा ं द व ड	c aa N d a w a dx
च ा ं द ा	c aa N d aa
च ा ँ द ी	c aa mq d ii
च ा म र ा ज न ग र	c aa m a r aa j a n a g a r
च ा म ु ं ड े श ् व र ी	c aa m u N dx ee sh w a r ii
च ा म ो ल ी	c aa m o l ii
च ा य	c aa y
च ा र	c aa r
च ा र द ी व ा र ी	c aa r d ii w aa r ii
च ा र प ा ई	c aa r p aa ii
च ा र प ा ँ च	c aa r p aa mq c
च ा र श े	c aa r a sh ee
च ा र े	c aa r ee
च ा र ो ं	c aa r o N
च ा र ् ट	c aa r tx
च ा र ् ट े ड	c aa r tx ee dx
च ा ल	c aa l
च ा ल क	c aa l a k
च ा ल क ो ं	c aa l k o N
च ा ल त े	c aa l a t ee
च ा ल व	c aa l a w
च ा ल ी स ा	c aa l ii s aa
च ा ल ु क ् य	c aa l u k y
च ा ल ू	c aa l uu
च ा ळ ी स	c aa lx ii s
च ा ळ ी स ग ा व	c aa lx ii s a g aa w
च ा व	c aa w
च ा व ल	c aa w a l
च ा ह	c aa h
च ा ह त ा	c aa h t aa
च ा ह त ी	c aa h t ii
च ा ह त े	c aa h t ee
च ा ह ा	c aa h aa
च ा ह ि ए	c aa h i ee
च ा ह ि ए ँ	c aa h i ee mq
च ा ह ि य े	c aa h i y ee
च ा ह ि य े ं	c aa h i y ee N
च ा ह ी	c aa h ii
च ा ह े	c aa h ee
च ा ह े ं	c aa h ee N
च ा ह े ं ग े	c aa h ee N g ee
च ा ह ो	c aa h o
च ि क ि त ् स क ी य	c i k i t s k ii y
च ि ख ल ी	c i kh a l ii
च ि ग ड ी	c i g dx ii
च ि ं च व ड	c i N c a w a dx
च ि ं च ि ं य ा त ा	c i N c i N y aa t aa
च ि च ो ल ी	c i c o l ii
च ि ट ् ठ ी	c i tx txh ii
च ि ड़ ि य ा	c i dxq i y aa
च ि ड़ ि य ा ँ	c i dxq i y aa mq
च ि ड ़ ि य ो ं	c i dxq i y o N
च ि ढ़	c i dxhq
च ि ढ़ ा य ा	c i dxhq aa y aa
च ि त ळ े ं च ं	c i t a lx ee N c a N
च ि त व न	c i t w a n
च ि ं त ा	c i N t aa
च ि ं त ा ओ ं	c i N t aa o N
च ि ं त ा म ण ी	c i N t aa m a nx ii
च ि ं त ि त	c i N t i t
च ि त ् त	c i t t
च ि त ् र	c i t r
च ि त ् र क ा र	c i t r k aa r
च ि त ् र क ा र ी	c i t r k aa r ii
च ि त ् र क ा र ो ं	c i t r k aa r o N
च ि त ् र क ू ट	c i t r a k uu tx
च ि त ् र ण	c i t r a nx
च ि त ् र द ु र ् ग	c i t r a d u r g
च ि त ् र प ट	c i t r a p a tx
च ि त ् र प ट ग ृ ह ा त	c i t r a p a tx a g rq h aa t
च ि त ् र प ट ा त ी ल	c i t r a p a tx aa t ii l
च ि त ् र ा ं स ह	c i t r aa N s a h
च ि थ ि र ा ई	c i th i r aa ii
च ि न ् त ा	c i n t aa
च ि प	c i p
च ि प क	c i p a k
च ि प ळ ू ण	c i p a lx uu nx
च ि ं ब ळ ी	c i N b a lx ii
च ि म ट ा	c i m tx aa
च ि म ट े	c i m tx ee
च ि र ा ग	c i r aa g
च ि ल म	c i l a m
च ि ल ् ड ् र े न	c i l dx r ee n
च ि ल ् ल ा	c i l l aa
च ि ल ् ल ा ए	c i l l aa ee
च ि ल ् ल ा क र	c i l l aa k a r
च ि ल ् ल ा च ि ल ् ल ा क र	c i l l aa c i l l aa k a r
च ि ल ् ल ा त ा	c i l l aa t aa
च ि ल ् ल ा न े	c i l l aa n ee
च ि ल ् ल ा य ा	c i l l aa y aa
च ि ल ् ल ा य े	c i l l aa y ee
च ी	c ii
च ी ख ा	c ii kh aa
च ी ख़ ा	c ii khq aa
च ी ख े च ि ल ् ल ा य े	c ii kh ee c i l l aa y ee
च ी ज	c ii j
च ी ज ़	c ii jq
च ी ज़	c ii jq
च ी ज े ं	c ii j ee N
च ी ज ़ े ं	c ii jq ee N
च ी ज़ े ं	c ii jq ee N
च ी ज ो ं	c ii j o N
च ी ज ़ ो ं	c ii jq o N
च ी ज़ ो ं	c ii jq o N
च ी त ा	c ii t aa
च ी र	c ii r
च ी र फ ा ड़	c ii r ph aa dxq
च ी ल	c ii l
च ु क न े	c u k n ee
च ु क ा	c u k aa
च ु क ा न े	c u k aa n ee
च ु क ी	c u k ii
च ु क े	c u k ee
च ु ग त ा	c u g t aa
च ु ड ़ ै ल	c u dxq ei l
च ु न र ि य ा	c u n r i y aa
च ु न ा	c u n aa
च ु न ा व	c u n aa w
च ु प	c u p
च ु प च ा प	c u p c aa p
च ु प ् प ी	c u p p ii
च ु म ् ब क	c u m b a k
च ु र ु	c u r u
च ू ड़ ि य ा ँ	c uu dxq i y aa mq
च ू र ू	c uu r uu
च ू ल ् ह े	c uu l h ee
च ू ह े	c uu h ee
च ॅ न ल	c ae n a l
च ॅ ल े ं ज र	c ae l ee N j a r
च े	c ee
च े क	c ee k
च े क अ प	c ee k a a p
च े च क	c ee c a k
च े ं ज	c ee N j
च े त क	c ee t a k
च े त त े	c ee t t ee
च े त ा व न ी	c ee t aa w n ii
च े न ् न ई	c ee n n a ii
च े य र	c ee y a r
च े र ा प ु ं ज ी	c ee r aa p u N j ii
च े ह र ा	c ee h r aa
च े ह र े	c ee h r ee
च ै त न ् य	c ei t a n y
च ै न	c ei n
च ै न ल	c ei n a l
च ो ट	c o tx
च ो ट ी	c o tx ii
च ो र	c o r
च ो र ि य ॉ ँ	c o r i y ax mq
च ो र ी	c o r ii
च ो र ु	c o r u
च ो व ी स	c o w ii s
च ौ क	c au k
च ौ क	c ou k
च ौ ं क	c ou N k
च ौ क ी	c ou k ii
च ौ ं क ी	c ou N k ii
च ौ क े	c ou k ee
च ौ ख ट	c ou kh a tx
च ौ ग ा व	c au g aa w
च ौ ड़ ा त े	c ou dxq aa t ee
च ौ त ी स	c au t ii s
च ौ थ	c au th
च ौ थ ् य ा	c au th y aa
च ौ द ा श े	c au d aa sh ee
च ौ ध र ा इ न	c ou dh r aa i n
च ौ ध र ी	c ou dh r ii
च ौ ं ध ि य ा न े	c ou N dh i y aa n ee
च ौ प ड़	c ou p a dxq
